ID,Process,Function,Service/Class,Description,Complexity,Implementation (%),Dependencies,Test Requirement,Last Modified
49,N/A - File Management,getURLForImage(),LocalImageFileManager,Gets default image file URL,Low,100,FileManager,Unit,2023-10
50,N/A - Core Data Utilities,save(),CoreDataManager,Saves Core Data context changes,Normal,100,Core Data,Unit,2023-05
51,N/A - Core Data Utilities,insertIntoChapters(),StoryEntity,Core Data relationship management for chapters,Low,100,Core Data,Unit,2023-05
52,N/A - Core Data Utilities,removeFromChapters(),StoryEntity,Removes chapters from story entity,Low,100,Core Data,Unit,2023-05
53,N/A - Core Data Utilities,replaceChapters(),StoryEntity,Replaces chapter entities in story,Low,100,Core Data,Unit,2023-05
54,N/A - Core Data Utilities,addToChapters(),StoryEntity,Adds chapters to story relationship,Low,100,Core Data,Unit,2023-05
55,N/A - Core Data Utilities,addToPlaces(),StoryEntity,Adds places to story relationship,Low,100,Core Data,Unit,2023-05
56,N/A - Core Data Utilities,removeFromPlaces(),StoryEntity,Removes places from story relationship,Low,100,Core Data,Unit,2023-05
57,N/A - Core Data Utilities,fetchRequest(),ChapterEntity,Core Data fetch request for chapters,Low,100,Core Data,Unit,2023-05
58,N/A - Core Data Utilities,fetchRequest(),PlaceEntity,Core Data fetch request for places,Low,100,Core Data,Unit,2023-05
59,N/A - Core Data Utilities,fetchRequest(),StoryEntity,Core Data fetch request for stories,Low,100,Core Data,Unit,2023-05
60,N/A - UI Utilities,getDisplayTime(),TimeToString,Converts time integer to display string,Low,100,Foundation,Unit,2023-08
61,N/A - UI Utilities,getYoutubeTime(),TimeToString,Converts time to YouTube format string,Low,100,Foundation,Unit,2023-08
62,N/A - UI Utilities,withBackground(),UIImage,Adds background color to image,Low,100,UIKit,Unit,2023-09
63,N/A - UI Utilities,maskWithColor(),UIImage,Applies color mask to image,Normal,100,UIKit,Unit,2023-09
64,N/A - UI Utilities,resize(),UIImage,Resizes image to max width/height,Normal,100,UIKit,Unit,2023-09
65,N/A - UI Utilities,setImageColor(),UIImage,Sets image tint color,Low,100,UIKit,Unit,2023-09
66,N/A - UI Utilities,hapticImpactFeedbackOnTap(),View,Adds haptic feedback to views,Low,100,UIKit,Manual,2023-09
67,N/A - UI Utilities,hapticNotificationFeedbackOnTap(),View,Adds notification haptic feedback,Low,100,UIKit,Manual,2023-09
68,N/A - UI Utilities,endEditing(),View,Dismisses keyboard for text editing,Low,100,UIKit,Manual,2023-09
69,N/A - UI Utilities,snapshot(),View,Captures view as UIImage,Normal,100,UIKit,Unit,2023-09
70,N/A - UI Utilities,cornerRadius(),View,Applies corner radius to specific corners,Low,100,SwiftUI,Manual,2023-09
71,N/A - UI Utilities,removingDuplicates(),Array,Removes duplicate elements from array,Low,100,Foundation,Unit,2023-08
72,N/A - UI Utilities,removeDuplicates(),Array,Mutating version of duplicate removal,Low,100,Foundation,Unit,2023-08
73,N/A - Google Services,autoCompletePrediction(),GoogleMapAPIService,Gets place autocomplete predictions,Normal,100,Google Places API,Integration,2023-10
74,N/A - Google Services,getPlaceFieldCoordinate(),GoogleMapAPIService,Gets coordinates for place ID,Normal,100,Google Places API,Integration,2023-10
75,N/A - Google Services,autoCompletePrediction(),GoogleMapAndPlaceAPIService,Alternative autocomplete service,Normal,100,Google Places API,Integration,2023-10
76,N/A - Google Services,getPlaceFieldCoordinate(),GoogleMapAndPlaceAPIService,Alternative coordinate service,Normal,100,Google Places API,Integration,2023-10
77,N/A - Navigation,init(),CustomTabBarContainerView,Initializes custom tab bar container,Normal,100,SwiftUI,Manual,2023-11
78,N/A - Testing,test(),Utils,Testing utility function,Low,100,None,None,2023-08
79,N/A - Testing,test2(),Utils,Additional testing utility,Low,100,None,None,2023-08
80,N/A - Testing,loadData(),ReadJsonData,Loads test JSON data,Low,100,Foundation,Unit,2023-08
81,N/A - UI Components,makeUIView(),VisualEffectView,Creates blur effect view,Low,100,UIKit,Manual,2023-09
82,N/A - UI Components,updateUIView(),VisualEffectView,Updates blur effect,Low,100,UIKit,Manual,2023-09
83,N/A - UI Components,makeUIView(),GoogleSignInButtonWrapper,Wraps Google Sign-In button for SwiftUI,Normal,100,GoogleSignIn SDK + SwiftUI,Manual,2023-11
84,N/A - UI Components,makeUIView(),TextWithAttributedString,Displays attributed strings in SwiftUI,Normal,100,UIKit + SwiftUI,Manual,2023-09
85,N/A - UI Components,updateUIView(),TextWithAttributedString,Updates attributed string display,Normal,100,UIKit + SwiftUI,Manual,2023-09
86,N/A - Data Models,hash(),AdventureTubeData,Implements Hashable for data models,Low,100,Foundation,Unit,2023-08
87,N/A - Data Models,build(),Duration,Builds duration from raw string,Low,100,Foundation,Unit,2023-08
88,N/A - Data Models,build(),ContentType,Builds content type from raw string,Low,100,Foundation,Unit,2023-08
89,N/A - Data Models,build(),Category,Builds category from raw string,Low,100,Foundation,Unit,2023-08
90,N/A - Data Models,hash(),YoutubeContentResource,Hashable implementation for YouTube resources,Low,100,Foundation,Unit,2023-12
91,N/A - Data Models,encode(),CLLocationCoordinate2D,Encodes coordinates for serialization,Low,100,CoreLocation,Unit,2023-10
